iter	Passed	Remaining
399	51622	77433
400	51748	77299
401	51873	77164
402	51998	77030
403	52121	76892
404	52246	76757
405	52369	76620
406	52490	76478
407	52614	76343
408	52744	76214
409	52872	76084
410	53004	75959
411	53135	75833
412	53265	75706
413	53393	75575
414	53518	75442
415	53645	75309
416	53787	75199
417	53911	75063
418	54030	74921
419	54156	74787
420	54276	74646
421	54404	74516
422	54528	74380
423	54656	74251
424	54789	74127
425	54920	74001
426	55052	73876
427	55181	73746
428	55311	73619
429	55457	73513
430	55582	73379
431	55704	73240
432	55848	73132
433	55973	72997
434	56089	72852
435	56213	72716
436	56332	72575
437	56476	72464
438	56622	72358
439	56744	72220
440	56878	72097
441	57018	71982
442	57174	71888
443	57302	71757
444	57429	71625
445	57556	71494
446	57674	71351
447	57803	71222
448	57941	71104
449	58065	70968
450	58188	70832
451	58314	70699
452	58439	70566
453	58566	70434
454	58685	70294
455	58816	70166
456	58944	70036
457	59073	69907
458	59195	69770
459	59318	69634
460	59443	69500
461	59573	69372
462	59697	69238
463	59819	69101
464	59944	68967
465	60070	68836
466	60192	68699
467	60318	68566
468	60440	68430
469	60564	68296
470	60690	68163
471	60821	68037
472	60948	67907
473	61079	67780
474	61205	67648
475	61356	67544
476	61479	67408
477	61606	67277
478	61728	67141
479	61855	67010
480	61977	66873
481	62099	66737
482	62224	66604
483	62369	66492
484	62499	66364
485	62668	66279
486	62796	66149
487	62926	66021
488	63063	65900
489	63187	65766
490	63334	65656
491	63460	65524
492	63585	65391
493	63710	65257
494	63834	65124
495	63963	64995
496	64109	64883
497	64235	64751
498	64361	64619
499	64535	64535
500	64661	64402
501	64838	64321
502	64968	64193
503	65098	64065
504	65219	63927
505	65351	63801
506	65479	63671
507	65602	63536
508	65726	63402
509	65849	63267
510	65968	63128
511	66091	62993
512	66213	62858
513	66340	62727
514	66464	62592
515	66586	62456
516	66713	62326
517	66846	62200
518	66973	62069
519	67102	61941
520	67260	61838
521	67383	61703
522	67510	61572
523	67635	61440
524	67757	61304
525	67887	61176
526	68009	61040
527	68136	60909
528	68259	60775
529	68385	60643
530	68507	60508
531	68632	60376
532	68759	60245
533	68887	60115
534	69016	59986
535	69146	59857
536	69270	59725
537	69396	59592
538	69519	59459
539	69646	59328
540	69777	59201
541	69900	59067
542	70023	58933
543	70144	58797
544	70267	58663
545	70392	58531
546	70529	58408
547	70657	58279
548	70785	58150
549	70911	58018
550	71042	57891
551	71169	57760
552	71299	57632
553	71428	57503
554	71551	57370
555	71678	57239
556	71803	57107
557	71928	56975
558	72051	56842
559	72178	56711
560	72299	56576
561	72423	56444
562	72548	56312
563	72681	56186
564	72814	56060
565	72942	55931
566	73073	55804
567	73204	55676
568	73327	55543
569	73456	55414
570	73581	55283
571	73711	55154
572	73831	55019
573	73952	54884
574	74077	54752
575	74208	54625
576	74342	54500
577	74469	54370
578	74598	54241
579	74728	54113
580	74857	53985
581	74992	53860
582	75124	53733
583	75249	53602
584	75370	53468
585	75501	53340
586	75622	53206
