iter	Logloss
278	0.3374294616
279	0.3374287643
280	0.3374227326
281	0.337420536
282	0.3374153062
283	0.3374098323
284	0.3374059971
285	0.3374012554
286	0.337400558
287	0.3373957815
288	0.3373893313
289	0.3373863677
290	0.3373801965
291	0.3373694231
292	0.3373662154
293	0.337363984
294	0.337359835
295	0.3373556163
296	0.3373525132
297	0.3373475274
298	0.3373419141
299	0.3373406241
300	0.3373373467
301	0.3373352896
302	0.3373336161
303	0.3373302341
304	0.3373226334
305	0.337316253
306	0.3373123829
307	0.3373104304
308	0.3372997964
309	0.3372960309
310	0.3372962053
311	0.3372930674
312	0.3372929279
313	0.3372906965
314	0.337288221
315	0.3372864429
316	0.337283828
317	0.3372833399
318	0.3372809341
319	0.337278633
320	0.3372772035
321	0.337271102
322	0.3372685917
323	0.337260224
324	0.3372561447
325	0.3372530416
326	0.3372488229
327	0.3372426866
328	0.3372409433
329	0.3372367594
330	0.3372350859
331	0.3372313901
332	0.3372283219
333	0.3372254978
334	0.3372236499
335	0.3372191174
336	0.3372162236
337	0.3372087623
338	0.3372039509
339	0.3372008827
340	0.3371949207
341	0.337191992
342	0.3371900046
343	0.3371859951
344	0.3371804863
345	0.3371791265
346	0.3371773135
347	0.3371731645
348	0.3371695036
349	0.3371564639
350	0.3371494908
351	0.3371470153
352	0.3371433196
353	0.3371430406
354	0.3371403211
355	0.3371293733
356	0.3371248757
357	0.3371192274
358	0.337108698
359	0.337106118
360	0.3371008881
361	0.3370987962
362	0.3370948912
363	0.3370924855
364	0.3370903936
365	0.3370870116
366	0.3370834204
367	0.3370805963
368	0.3370689861
369	0.3370589796
370	0.3370588402
371	0.3370559463
372	0.3370527038
373	0.3370510303
374	0.3370463932
375	0.3370451031
376	0.3370422442
377	0.3370397687
378	0.3370374327
379	0.3370348526
380	0.3370307385
381	0.3370297623
382	0.3370233819
383	0.3370205577
384	0.3370182915
385	0.3370143865
386	0.3370109
387	0.3370084942
388	0.3370072042
389	0.3370067161
390	0.3370026368
391	0.3369972675
392	0.3369949315
393	0.336988063
394	0.3369654701
395	0.3369634827
396	0.3369591943
397	0.3369563004
398	0.3369482813
399	0.336946294
400	0.3369437837
401	0.3369410641
402	0.3369392163
403	0.3369332194
404	0.3369297677
405	0.3369254792
406	0.3369241892
407	0.3369221321
408	0.3369186456
409	0.3369113238
410	0.3369084648
411	0.3369053966
412	0.33689933
413	0.3368979354
414	0.3368946929
415	0.3368935075
416	0.3368928799
417	0.3368893933
418	0.3368810604
419	0.3368769812
420	0.3368751681
421	0.3368721348
422	0.3368672188
423	0.3368650571
424	0.3368635579
425	0.3368612219
426	0.3368594089
427	0.3368564104
428	0.336855225
429	0.3368539698
430	0.3368514944
431	0.3368470665
432	0.3368465435
433	0.3368442772
434	0.3368438937
435	0.3368423596
436	0.3368390125
437	0.3368386987
438	0.3368387336
439	0.3368381409
440	0.3368381757
441	0.3368340964
442	0.3368336083
443	0.3368306448
444	0.3368286225
445	0.3368255195
446	0.3368253103
447	0.3368228349
448	0.3368182326
449	0.3368166985
450	0.3368113292
451	0.33680854
452	0.3368059948
453	0.3368035542
454	0.3368017063
455	0.3367996144
456	0.3367967902
457	0.3367948726
458	0.3367931294
459	0.3367935826
460	0.3367913163
461	0.3367903052
462	0.336788039
463	0.336783611
464	0.3367822164
465	0.3367805777
466	0.3367776839
467	0.3367761149
468	0.3367737789
469	0.336771164
470	0.3367695602
471	0.3367662828
472	0.3367630752
473	0.3367621338
474	0.3367602511
475	0.3367594143
476	0.336754045
477	0.336750663
478	0.33674627
479	0.3367439688
480	0.3367421558
481	0.3367427137
482	0.3367402731
483	0.3367406217
484	0.3367387041
485	0.3367379022
486	0.3367348689
487	0.3367328118
488	0.3367325678
489	0.336728349
490	0.3367280004
491	0.336725769
492	0.3367238165
493	0.3367223173
494	0.3367211667
495	0.3367186215
496	0.3367180986
497	0.3367160066
498	0.3367141239
499	0.336713566
500	0.3367121017
501	0.3367121714
502	0.336707604
503	0.336706837
504	0.3367050937
505	0.336704745
506	0.3367031063
507	0.3367012933
508	0.3366991317
509	0.3366979114
510	0.336694111
511	0.3366929256
512	0.3366903455
513	0.3366894042
514	0.3366837908
515	0.3366789096
516	0.3366757717
517	0.3366722154
518	0.3366716576
519	0.3366682756
520	0.3366679269
521	0.3366656955
522	0.3366644404
523	0.3366634641
524	0.3366615814
525	0.3366587573
526	0.3366568745
527	0.3366549918
528	0.3366526558
529	0.3366517144
530	0.3366492041
531	0.3366461359
532	0.3366446018
533	0.3366423704
534	0.3366409061
535	0.3366372452
536	0.3366357111
537	0.3366332357
538	0.3366321548
539	0.3366293307
540	0.3366270993
541	0.3366262974
542	0.336624589
543	0.3366231246
544	0.3366208584
545	0.3366190454
546	0.3366183829
547	0.3366113401
548	0.3366102941
549	0.3366090041
550	0.3366071562
551	0.3366058662
552	0.3366031815
553	0.3365997995
554	0.336599172
555	0.3365973241
556	0.3365958597
557	0.3365915015
558	0.3365894444
559	0.3365881544
560	0.3365861671
561	0.3365845633
562	0.3365805886
563	0.3365798913
564	0.3365775204
565	0.3365752193
566	0.3365727787
567	0.3365712446
568	0.3365692224
569	0.3365661542
570	0.3365625282
571	0.3365608198
572	0.3365607152
573	0.3365585187
574	0.336554788
575	0.3365540907
576	0.3365534631
577	0.3365534283
578	0.3365532191
579	0.3365518942
580	0.3365491049
581	0.3365476406
582	0.3365450257
583	0.3365421667
584	0.3365392031
585	0.3365380177
586	0.3365359257
587	0.3365343568
588	0.3365289177
589	0.3365277323
590	0.3365253963
591	0.3365219446
592	0.3364986544
593	0.3364956908
594	0.3364928318
595	0.3364921345
596	0.3364815702
597	0.3364780488
598	0.336475399
599	0.3364755734
600	0.3364734814
601	0.3364737603
602	0.3364711454
603	0.3364668221
604	0.3364635099
605	0.3364622896
606	0.336458803
607	0.3364567111
608	0.3364556651
609	0.3364543053
610	0.3364520739
611	0.3364493893
612	0.336447123
613	0.3364446824
614	0.3364425556
615	0.3364417537
616	0.3364385461
617	0.3364312592
618	0.3364293067
619	0.3364285397
620	0.3364230309
621	0.3364209389
622	0.3364210087
623	0.3364183938
624	0.3364165459
625	0.336413931
626	0.3364111068
627	0.3364101306
628	0.3364083873
629	0.3364057375
630	0.336404064
631	0.3364031226
632	0.3364020069
633	0.3363999847
634	0.3363931859
635	0.3363877818
636	0.3363868055
637	0.3363865963
638	0.3363846787
639	0.3363838419
640	0.3363810527
641	0.3363789259
642	0.3363735566
643	0.3363719876
644	0.3363693727
645	0.336365677
646	0.3363637245
647	0.3363631666
648	0.3363605168
649	0.336358913
650	0.3363526721
651	0.3363513472
652	0.3363424216
653	0.336339458
654	0.3363401902
655	0.3363387258
656	0.3363368082
657	0.336335309
658	0.3363349952
659	0.3363332171
660	0.3363318573
661	0.3363302186
662	0.3363267321
663	0.3363257558
664	0.3363245704
665	0.3363241869
666	0.3363217463
667	0.3363198287
668	0.3363172486
669	0.3363155402
670	0.336312995
671	0.3363125766
672	0.3363102058
673	0.3363089157
674	0.3363091947
675	0.3363071725
676	0.3362901232
677	0.3362855558
678	0.3362802911
679	0.3362715747
680	0.3362690992
681	0.3362692387
682	0.3362672165
683	0.3362657172
684	0.3362658916
685	0.3362642529
686	0.3362613242
687	0.3362602433
688	0.3362595809
689	0.3362580468
690	0.3362576982
691	0.336257733
692	0.3362564779
693	0.3362557805
694	0.3362471339
695	0.3362470641
696	0.3362457392
697	0.3362428105
698	0.3362392542
699	0.3362373715
700	0.3362366393
701	0.3362354888
702	0.3362325949
703	0.3362297359
704	0.3362253429
705	0.3362232161
706	0.3362214379
707	0.336219346
708	0.3362187184
709	0.3362173935
710	0.3362153713
711	0.3362139767
712	0.3362118499
713	0.3362093395
714	0.3362064806
715	0.3362029243
716	0.3362015297
717	0.3362013902
718	0.3362005185
719	0.3361981477
720	0.3361962998
721	0.3361959163
722	0.3361958117
723	0.3361943125
724	0.3361937198
725	0.3361929876
726	0.336190024
727	0.3361867466
728	0.3361847942
729	0.3361812379
730	0.3361802268
731	0.3361790065
732	0.3361779605
733	0.3361761126
734	0.3361745785
735	0.3361738464
736	0.3361737766
737	0.3361727655
738	0.336172382
739	0.3361716498
740	0.3361709176
741	0.3361667686
742	0.3361650951
743	0.3361638748
744	0.336162515
745	0.3361616085
746	0.3361622361
747	0.3361610507
748	0.3361609809
749	0.3361597955
750	0.3361572155
751	0.3361557511
752	0.3361517067
753	0.336150068
754	0.3361486734
755	0.3361464769
756	0.3361449079
757	0.3361437225
758	0.3361417351
759	0.3361396083
760	0.3361370283
761	0.3361353199
762	0.336133716
763	0.3361321122
764	0.3361312406
765	0.3361283467
766	0.336126464
767	0.3361244766
768	0.3361229077
769	0.3361226636
770	0.3361208855
771	0.3361169805
772	0.3361155859
773	0.3361153419
774	0.336115307
775	0.3361142262
776	0.3361093798
777	0.336107532
778	0.3361070438
779	0.3361057538
780	0.3361025462
781	0.336100245
782	0.336098955
783	0.3360983623
784	0.336095852
785	0.3360959914
786	0.3360936554
787	0.3360924003
788	0.3360903084
789	0.3360899248
790	0.3360869613
791	0.3360853226
792	0.3360840674
793	0.3360823939
794	0.3360819406
795	0.3360809295
796	0.3360804414
797	0.3360784889
798	0.3360772686
799	0.336075874
800	0.336072248
801	0.3360716204
802	0.3360713415
803	0.336062904
804	0.336060568
805	0.3360601845
806	0.3360579531
807	0.3360502478
808	0.3360500734
809	0.3360492715
810	0.336046552
811	0.3360447739
812	0.3360434838
813	0.3360425425
814	0.33604188
815	0.3360419497
816	0.3360397881
817	0.3360383586
818	0.3360379402
819	0.3360375915
820	0.3360362667
821	0.3360345582
822	0.3360329893
823	0.3360331287
824	0.3360271667
825	0.3360268529
826	0.336024761
827	0.336024238
828	0.3360212047
829	0.3360201587
830	0.3360196009
831	0.3360170208
832	0.3360155216
833	0.3360156611
834	0.3360138132
835	0.336011791
836	0.3360111983
837	0.3360103615
838	0.3360061428
839	0.3360044692
840	0.3360035627
841	0.3360033186
842	0.3360027957
843	0.3360022727
844	0.3360011221
845	0.3359996926
846	0.3359994137
847	0.3359984026
848	0.3359966245
849	0.3359962409
850	0.3359945674
851	0.3359934865
852	0.3359926498
853	0.3359907322
854	0.3359890586
855	0.3359869667
856	0.3359845261
857	0.335981946
858	0.3359807257
859	0.3359787733
860	0.3359786338
861	0.3359740315
862	0.3359728112
863	0.3359708239
864	0.3359699523
865	0.335969499
866	0.3359656289
867	0.3359644435
868	0.3359620378
869	0.3359561803
870	0.3359522754
871	0.3359508808
872	0.3359503229
873	0.3359475337
874	0.3359476034
875	0.3359454766
876	0.335944082
877	0.3359426873
878	0.3359403514
879	0.3359404908
880	0.3359387127
881	0.3359382594
882	0.3359368299
883	0.3359345637
884	0.3359332736
885	0.3359325415
886	0.3359307633
887	0.3359304844
888	0.3359289852
889	0.3359283924
890	0.3359262308
891	0.3359216634
892	0.3359210707
893	0.335919432
894	0.3359186998
895	0.3359182117
896	0.3359175492
897	0.3359166427
898	0.3359156316
899	0.3359149692
900	0.3359127727
901	0.3359112037
902	0.3359112386
903	0.3359099137
904	0.3359098091
905	0.3359077171
906	0.3359074731
907	0.335906462
908	0.3359047187
909	0.3359050325
910	0.3359040563
911	0.3359022084
912	0.3359006743
913	0.3359005697
914	0.335900221
915	0.3358974667
916	0.3358973969
917	0.3358967345
918	0.3358950609
919	0.3358942939
920	0.3358936663
921	0.3358927249
922	0.3358915395
923	0.3358910165
924	0.3358894824
925	0.3358879135
926	0.3358869721
927	0.3358861702
928	0.3358848104
929	0.3358836599
930	0.3358825442
931	0.3358820561
932	0.3358793714
933	0.3358794063
934	0.3358777676
935	0.3358777327
936	0.3358758848
937	0.3358740718
938	0.3358727469
939	0.3358713523
940	0.3358711431
941	0.3358697136
942	0.3358697136
943	0.3358691209
944	0.335867796
945	0.3358659481
946	0.3358652508
947	0.3358633332
948	0.3358617294
949	0.3358617294
950	0.3358603348
951	0.3358597072
952	0.3358589401
953	0.3358577199
954	0.3358569877
955	0.335856639
956	0.3358555931
957	0.3358532222
958	0.3358514789
959	0.3358509211
960	0.3358483759
961	0.3358451682
962	0.3358449939
963	0.335843425
964	0.3358427276
965	0.3358414376
966	0.3358404265
967	0.3358385089
968	0.33583823
969	0.3358372189
970	0.335837184
971	0.3358363472
972	0.3358359288
973	0.3358345691
974	0.3358348829
975	0.335833035
976	0.3358321285
977	0.3358301412
978	0.3358285722
979	0.3358271427
980	0.3358264105
981	0.335824737
982	0.3358241094
983	0.3358228891
984	0.3358229937
985	0.3358217385
986	0.3358208669
987	0.3358197163
988	0.3358192282
989	0.3358186006
990	0.3358177639
991	0.3358171363
992	0.3358152187
993	0.3358151141
994	0.3358144168
995	0.3358128478
996	0.3358113486
997	0.3358116972
998	0.3358106513
999	0.3358100586
